ReadID	SampleName	SampleID	ReadLength	ReadAvgQualScore
GSXD9VZ02GV4SB	10_D_B02_2010_12_17_2	10_D_B02	510	35
GSXD9VZ02FMQ8J	10_D_B02_2010_12_17_2	10_D_B02	510	35
GSXD9VZ02JCMCY	10_D_B02_2010_12_17_2	10_D_B02	494	36
GSXD9VZ02IEZOZ	10_D_B02_2010_12_17_2	10_D_B02	509	36
GSXD9VZ02GEN5K	10_D_B02_2010_12_17_2	10_D_B02	508	36
GSXD9VZ02GHW7O	10_D_B02_2010_12_17_2	10_D_B02	489	36
GSXD9VZ02G8HMF	10_D_B02_2010_12_17_2	10_D_B02	508	32
GSXD9VZ02GA2LU	10_D_B02_2010_12_17_2	10_D_B02	499	35
GSXD9VZ02JRW82	10_D_B02_2010_12_17_2	10_D_B02	486	31
GSXD9VZ02GA97Q	10_D_B02_2010_12_17_2	10_D_B02	484	37
GSXD9VZ02GWHMC	10_D_B02_2010_12_17_2	10_D_B02	499	37
GSXD9VZ02INSTA	10_D_B02_2010_12_17_2	10_D_B02	481	36
GSXD9VZ02GIVR1	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02HUV5W	10_D_B02_2010_12_17_2	10_D_B02	514	37
GSXD9VZ02IQEM8	10_D_B02_2010_12_17_2	10_D_B02	496	37
GSXD9VZ02GQ8IW	10_D_B02_2010_12_17_2	10_D_B02	414	30
GSXD9VZ02FX10Q	10_D_B02_2010_12_17_2	10_D_B02	507	34
GSXD9VZ02JZL2R	10_D_B02_2010_12_17_2	10_D_B02	503	36
GSXD9VZ02GMGXP	10_D_B02_2010_12_17_2	10_D_B02	485	36
GSXD9VZ02G4573	10_D_B02_2010_12_17_2	10_D_B02	506	36
GSXD9VZ02IPR92	10_D_B02_2010_12_17_2	10_D_B02	499	37
GSXD9VZ02GSZ7M	10_D_B02_2010_12_17_2	10_D_B02	507	33
GSXD9VZ02I92B9	10_D_B02_2010_12_17_2	10_D_B02	509	37
GSXD9VZ02HPUG3	10_D_B02_2010_12_17_2	10_D_B02	510	37
GSXD9VZ02ILEKF	10_D_B02_2010_12_17_2	10_D_B02	516	35
GSXD9VZ02HG6TW	10_D_B02_2010_12_17_2	10_D_B02	514	37
GSXD9VZ02I1T16	10_D_B02_2010_12_17_2	10_D_B02	410	32
GSXD9VZ02GH3H8	10_D_B02_2010_12_17_2	10_D_B02	493	37
GSXD9VZ02GABM3	10_D_B02_2010_12_17_2	10_D_B02	488	36
GSXD9VZ02IE6GR	10_D_B02_2010_12_17_2	10_D_B02	482	34
GSXD9VZ02HALL0	10_D_B02_2010_12_17_2	10_D_B02	468	31
