SampleID	Method-id	Taxa-name	#_of_reads	%_of_total	Avg_Score
S9_2_2011_02_15_2	1	Root	13834	100	1
S9_2_2011_02_15_2	1	Archaea	1	0.01	0.52
S9_2_2011_02_15_2	1	Bacteria	13829	99.96	1
S9_2_2011_02_15_2	1	Spirochaetes	193	1.4	0.97
S9_2_2011_02_15_2	1	TM7	15	0.11	0.91
S9_2_2011_02_15_2	1	Firmicutes	2569	18.57	0.98
S9_2_2011_02_15_2	1	Bacteroidetes	6197	44.8	0.99
S9_2_2011_02_15_2	1	Synergistetes	14	0.1	0.9
S9_2_2011_02_15_2	1	Actinobacteria	961	6.95	0.98
10_D_B02_2010_12_17_2	1	Root	3989	100	1
10_D_B02_2010_12_17_2	1	Bacteria	3989	100	1
10_D_B02_2010_12_17_2	1	Spirochaetes	390	9.78	0.96
10_D_B02_2010_12_17_2	1	TM7	4	0.1	0.9
10_D_B02_2010_12_17_2	1	Proteobacteria	19	0.48	1
10_D_B02_2010_12_17_2	1	Firmicutes	401	10.05	0.98
10_D_B02_2010_12_17_2	1	Bacteroidetes	2502	62.72	1
10_D_B02_2010_12_17_2	1	Chloroflexi	1	0.03	0.97
10_D_B02_2010_12_17_2	1	Actinobacteria	228	5.72	0.98
10_D_B02_2010_12_17_2	1	Tenericutes	6	0.15	0.92
10_D_B02_2010_12_17_2	1	SR1	3	0.08	1
10_D_B02_2010_12_17_2	1	Fusobacteria	325	8.15	0.99
10_D_B02_2010_12_17_2	1	Synergistetes	85	2.13	0.93
10_D_B02_2010_12_17_2	1	Spirochaetes	390	9.78	0.96
10_D_B02_2010_12_17_2	1	Betaproteobacteria	6	0.15	1
10_D_B02_2010_12_17_2	1	Bacteroidia	2451	61.44	0.99
10_D_B02_2010_12_17_2	1	Flavobacteria	10	0.25	0.95
10_D_B02_2010_12_17_2	1	Epsilonproteobacteria	10	0.25	1
10_D_B02_2010_12_17_2	1	Actinobacteria	228	5.72	0.98
10_D_B02_2010_12_17_2	1	Mollicutes	6	0.15	0.92
10_D_B02_2010_12_17_2	1	Sphingobacteria	3	0.08	0.66
10_D_B02_2010_12_17_2	1	Bacilli	2	0.05	1
10_D_B02_2010_12_17_2	1	Erysipelotrichia	7	0.18	1
10_D_B02_2010_12_17_2	1	Anaerolineae	1	0.03	0.97
10_D_B02_2010_12_17_2	1	Fusobacteria	325	8.15	0.99
10_D_B02_2010_12_17_2	1	Clostridia	336	8.42	0.98
10_D_B02_2010_12_17_2	1	Synergistia	85	2.13	0.93
10_D_B02_2010_12_17_2	1	Negativicutes	53	1.33	0.99
10_D_B02_2010_12_17_2	1	Deltaproteobacteria	3	0.08	0.94
10_D_B02_2010_12_17_2	1	Actinobacteridae	152	3.81	0.98
10_D_B02_2010_12_17_2	1	Coriobacteridae	75	1.88	0.98
10_D_B02_2010_12_17_2	1	Micrococcineae	14	0.35	0.67
10_D_B02_2010_12_17_2	1	Coriobacterineae	75	1.88	0.98
10_D_B02_2010_12_17_2	1	Corynebacterineae	10	0.25	0.97
10_D_B02_2010_12_17_2	1	Actinomycineae	116	2.91	0.91
10_D_B02_2010_12_17_2	1	Pseudonocardineae	1	0.03	0.51
10_D_B02_2010_12_17_2	1	Lactobacillales	2	0.05	1
10_D_B02_2010_12_17_2	1	Fusobacteriales	325	8.15	0.99
10_D_B02_2010_12_17_2	1	Flavobacteriales	10	0.25	0.95
10_D_B02_2010_12_17_2	1	Anaerolineales	1	0.03	0.97
10_D_B02_2010_12_17_2	1	Campylobacterales	10	0.25	1
10_D_B02_2010_12_17_2	1	Clostridiales	336	8.42	0.98
10_D_B02_2010_12_17_2	1	Synergistales	85	2.13	0.93
10_D_B02_2010_12_17_2	1	Erysipelotrichales	7	0.18	1
10_D_B02_2010_12_17_2	1	Spirochaetales	390	9.78	0.96
10_D_B02_2010_12_17_2	1	Neisseriales	6	0.15	1
10_D_B02_2010_12_17_2	1	Desulfobacterales	2	0.05	0.99
10_D_B02_2010_12_17_2	1	Mycoplasmatales	5	0.13	1
10_D_B02_2010_12_17_2	1	Selenomonadales	53	1.33	0.99
10_D_B02_2010_12_17_2	1	Sphingobacteriales	3	0.08	0.66
10_D_B02_2010_12_17_2	1	Bacteroidales	2451	61.44	0.99
10_D_B02_2010_12_17_2	1	Coriobacteriales	75	1.88	0.98
10_D_B02_2010_12_17_2	1	Actinomycetales	152	3.81	0.98
10_D_B02_2010_12_17_2	1	Beutenbergiaceae	2	0.05	0.68
10_D_B02_2010_12_17_2	1	Actinomycetaceae	116	2.91	0.91
10_D_B02_2010_12_17_2	1	Pseudonocardiaceae	1	0.03	0.51
10_D_B02_2010_12_17_2	1	Coriobacteriaceae	75	1.88	0.98
10_D_B02_2010_12_17_2	1	Corynebacteriaceae	10	0.25	0.96
10_D_B02_2010_12_17_2	1	Leptotrichiaceae	113	2.83	0.99
10_D_B02_2010_12_17_2	1	Streptococcaceae	2	0.05	1
10_D_B02_2010_12_17_2	1	Eubacteriaceae	53	1.33	0.96
10_D_B02_2010_12_17_2	1	Neisseriaceae	6	0.15	1
10_D_B02_2010_12_17_2	1	Veillonellaceae	53	1.33	0.98
10_D_B02_2010_12_17_2	1	Anaerolineaceae	1	0.03	0.97
10_D_B02_2010_12_17_2	1	Rikenellaceae	27	0.68	0.65
10_D_B02_2010_12_17_2	1	Erysipelotrichaceae	7	0.18	1
10_D_B02_2010_12_17_2	1	Clostridiales_Incertae Sedis XIII	29	0.73	0.71
10_D_B02_2010_12_17_2	1	Clostridiales_Incertae Sedis XI	9	0.23	0.94
10_D_B02_2010_12_17_2	1	Mycoplasmataceae	5	0.13	1
10_D_B02_2010_12_17_2	1	Fusobacteriaceae	212	5.31	0.99
10_D_B02_2010_12_17_2	1	Spirochaetaceae	385	9.65	0.97
10_D_B02_2010_12_17_2	1	Peptococcaceae 1	14	0.35	0.82
10_D_B02_2010_12_17_2	1	Ruminococcaceae	1	0.03	0.51
10_D_B02_2010_12_17_2	1	Synergistaceae	85	2.13	0.93
10_D_B02_2010_12_17_2	1	Campylobacteraceae	10	0.25	0.97
10_D_B02_2010_12_17_2	1	Porphyromonadaceae	1928	48.33	0.99
10_D_B02_2010_12_17_2	1	Peptostreptococcaceae	152	3.81	0.99
10_D_B02_2010_12_17_2	1	Lachnospiraceae	63	1.58	0.97
10_D_B02_2010_12_17_2	1	Prevotellaceae	446	11.18	0.96
10_D_B02_2010_12_17_2	1	Chitinophagaceae	1	0.03	0.91
10_D_B02_2010_12_17_2	1	Bacteroidaceae	19	0.48	0.75
10_D_B02_2010_12_17_2	1	Flavobacteriaceae	9	0.23	1
10_D_B02_2010_12_17_2	1	Bacteroidales_incertae_sedis	15	0.38	1
10_D_B02_2010_12_17_2	1	Desulfobulbaceae	2	0.05	0.99
10_D_B02_2010_12_17_2	1	Olsenella	64	1.6	0.97
10_D_B02_2010_12_17_2	1	Slackia	11	0.28	0.91
10_D_B02_2010_12_17_2	1	Actinobaculum	1	0.03	0.53
10_D_B02_2010_12_17_2	1	Actinomyces	107	2.68	0.94
10_D_B02_2010_12_17_2	1	Corynebacterium	9	0.23	0.93
10_D_B02_2010_12_17_2	1	TM7_genera_incertae_sedis	4	0.1	0.9
10_D_B02_2010_12_17_2	1	SR1_genera_incertae_sedis	3	0.08	1
10_D_B02_2010_12_17_2	1	Johnsonella	9	0.23	0.96
10_D_B02_2010_12_17_2	1	Peptococcus	14	0.35	0.79
10_D_B02_2010_12_17_2	1	Peptostreptococcaceae_incertae_sedis	1	0.03	0.99
10_D_B02_2010_12_17_2	1	Xylanibacter	1	0.03	0.56
10_D_B02_2010_12_17_2	1	Capnocytophaga	9	0.23	1
10_D_B02_2010_12_17_2	1	Oribacterium	6	0.15	0.94
10_D_B02_2010_12_17_2	1	Peptostreptococcus	92	2.31	0.99
10_D_B02_2010_12_17_2	1	Aminobacterium	5	0.13	0.53
10_D_B02_2010_12_17_2	1	Fusobacterium	204	5.11	0.99
10_D_B02_2010_12_17_2	1	Moryella	5	0.13	0.54
10_D_B02_2010_12_17_2	1	Thermovirga	9	0.23	0.7
10_D_B02_2010_12_17_2	1	Leptotrichia	92	2.31	1
10_D_B02_2010_12_17_2	1	Kingella	2	0.05	1
10_D_B02_2010_12_17_2	1	Aminiphilus	1	0.03	0.5
10_D_B02_2010_12_17_2	1	Porphyromonas	1843	46.2	0.99
10_D_B02_2010_12_17_2	1	Filifactor	59	1.48	0.98
10_D_B02_2010_12_17_2	1	Neisseria	4	0.1	0.65
10_D_B02_2010_12_17_2	1	Bacteroides	19	0.48	0.75
10_D_B02_2010_12_17_2	1	Rikenella	23	0.58	0.67
10_D_B02_2010_12_17_2	1	Campylobacter	10	0.25	0.97
10_D_B02_2010_12_17_2	1	Selenomonas	26	0.65	0.93
10_D_B02_2010_12_17_2	1	Schwartzia	4	0.1	0.6
10_D_B02_2010_12_17_2	1	Sneathia	11	0.28	0.58
10_D_B02_2010_12_17_2	1	Desulfobulbus	2	0.05	0.98
10_D_B02_2010_12_17_2	1	Tannerella	69	1.73	0.95
10_D_B02_2010_12_17_2	1	Dialister	15	0.38	0.94
10_D_B02_2010_12_17_2	1	Pseudoramibacter	8	0.2	0.98
10_D_B02_2010_12_17_2	1	Catonella	25	0.63	0.97
10_D_B02_2010_12_17_2	1	Hallella	22	0.55	0.62
10_D_B02_2010_12_17_2	1	Centipeda	1	0.03	0.77
10_D_B02_2010_12_17_2	1	Paraprevotella	2	0.05	0.58
10_D_B02_2010_12_17_2	1	Spirochaeta	2	0.05	0.57
10_D_B02_2010_12_17_2	1	Syntrophococcus	1	0.03	0.66
10_D_B02_2010_12_17_2	1	Streptococcus	2	0.05	1
10_D_B02_2010_12_17_2	1	Prevotella	343	8.6	0.82
10_D_B02_2010_12_17_2	1	Pectinatus	2	0.05	0.67
10_D_B02_2010_12_17_2	1	Phocaeicola	15	0.38	1
10_D_B02_2010_12_17_2	1	Erysipelotrichaceae_incertae_sedis	5	0.13	1
10_D_B02_2010_12_17_2	1	Eubacterium	45	1.13	0.96
10_D_B02_2010_12_17_2	1	Streptobacillus	3	0.08	0.58
10_D_B02_2010_12_17_2	1	Treponema	379	9.5	0.97
10_D_B02_2010_12_17_2	1	Parvimonas	9	0.23	0.94
10_D_B02_2010_12_17_2	1	Mycoplasma	5	0.13	1
10_D_B02_2010_12_17_2	1	Mogibacterium	3	0.08	0.88
10_D_B02_2010_12_17_2	1	Bulleidia	2	0.05	1
10_D_B02_2010_12_17_2	1	Clostridium XIX	5	0.13	0.66
10_D_B02_2010_12_17_2	1	Anaerovorax	26	0.65	0.69
10_S_B01_2010_12_17_2	1	Root	8751	100	1
10_S_B01_2010_12_17_2	1	Bacteria	8749	99.98	1
10_S_B01_2010_12_17_2	1	Spirochaetes	365	4.17	0.97
10_S_B01_2010_12_17_2	1	Chloroflexi	1	0.01	0.98
10_S_B01_2010_12_17_2	1	TM7	29	0.33	1
10_S_B01_2010_12_17_2	1	Firmicutes	2050	23.43	0.98
10_S_B01_2010_12_17_2	1	Bacteroidetes	2376	27.15	0.99
10_S_B01_2010_12_17_2	1	Synergistetes	109	1.25	0.91
10_S_B01_2010_12_17_2	1	Actinobacteria	1677	19.16	0.99
10_S_B01_2010_12_17_2	1	Tenericutes	10	0.11	0.89
10_S_B01_2010_12_17_2	1	Cyanobacteria/Chloroplast	2	0.02	1
10_S_B01_2010_12_17_2	1	SR1	1	0.01	1
10_S_B01_2010_12_17_2	1	Fusobacteria	1269	14.5	0.99
10_S_B01_2010_12_17_2	1	Proteobacteria	803	9.18	0.99
10_S_B01_2010_12_17_2	1	Spirochaetes	365	4.17	0.97
10_S_B01_2010_12_17_2	1	Betaproteobacteria	364	4.16	0.98
10_S_B01_2010_12_17_2	1	Synergistia	109	1.25	0.91
10_S_B01_2010_12_17_2	1	Bacteroidia	2109	24.1	0.99
10_S_B01_2010_12_17_2	1	Gammaproteobacteria	356	4.07	0.98
10_S_B01_2010_12_17_2	1	Flavobacteria	205	2.34	0.98
10_S_B01_2010_12_17_2	1	Alphaproteobacteria	13	0.15	1
10_S_B01_2010_12_17_2	1	Chloroplast	2	0.02	1
10_S_B01_2010_12_17_2	1	Mollicutes	10	0.11	0.89
10_S_B01_2010_12_17_2	1	Epsilonproteobacteria	57	0.65	0.99
10_S_B01_2010_12_17_2	1	Bacilli	1136	12.98	0.98
10_S_B01_2010_12_17_2	1	Sphingobacteria	3	0.03	0.55
10_S_B01_2010_12_17_2	1	Erysipelotrichia	16	0.18	0.95
10_S_B01_2010_12_17_2	1	Anaerolineae	1	0.01	0.96
10_S_B01_2010_12_17_2	1	Fusobacteria	1269	14.5	0.99
10_S_B01_2010_12_17_2	1	Negativicutes	559	6.39	0.98
10_S_B01_2010_12_17_2	1	Actinobacteria	1677	19.16	0.99
10_S_B01_2010_12_17_2	1	Clostridia	329	3.76	0.96
10_S_B01_2010_12_17_2	1	Deltaproteobacteria	12	0.14	0.96
10_S_B01_2010_12_17_2	1	Actinobacteridae	1591	18.18	0.99
10_S_B01_2010_12_17_2	1	Coriobacteridae	84	0.96	0.99
10_S_B01_2010_12_17_2	1	Micrococcineae	146	1.67	0.85
10_S_B01_2010_12_17_2	1	Actinomycineae	709	8.1	0.94
10_S_B01_2010_12_17_2	1	Propionibacterineae	47	0.54	1
10_S_B01_2010_12_17_2	1	Coriobacterineae	84	0.96	0.99
10_S_B01_2010_12_17_2	1	Pseudonocardineae	7	0.08	0.65
10_S_B01_2010_12_17_2	1	Corynebacterineae	567	6.48	0.95
10_S_B01_2010_12_17_2	1	Cardiobacteriales	46	0.53	0.94
10_S_B01_2010_12_17_2	1	Pasteurellales	310	3.54	0.99
10_S_B01_2010_12_17_2	1	Sphingobacteriales	3	0.03	0.55
10_S_B01_2010_12_17_2	1	Neisseriales	350	4	0.98
10_S_B01_2010_12_17_2	1	Sphingomonadales	1	0.01	1
10_S_B01_2010_12_17_2	1	Clostridiales	327	3.74	0.96
10_S_B01_2010_12_17_2	1	Mycoplasmatales	8	0.09	0.96
10_S_B01_2010_12_17_2	1	Desulfobacterales	8	0.09	0.94
10_S_B01_2010_12_17_2	1	Lactobacillales	1084	12.39	0.98
10_S_B01_2010_12_17_2	1	Burkholderiales	8	0.09	0.97
10_S_B01_2010_12_17_2	1	Fusobacteriales	1269	14.5	0.99
10_S_B01_2010_12_17_2	1	Anaerolineales	1	0.01	0.96
10_S_B01_2010_12_17_2	1	Erysipelotrichales	16	0.18	0.95
10_S_B01_2010_12_17_2	1	Spirochaetales	365	4.17	0.97
10_S_B01_2010_12_17_2	1	Anaeroplasmatales	2	0.02	0.58
10_S_B01_2010_12_17_2	1	Bacillales	35	0.4	0.94
10_S_B01_2010_12_17_2	1	Rhodocyclales	5	0.06	0.75
10_S_B01_2010_12_17_2	1	Rhizobiales	12	0.14	1
10_S_B01_2010_12_17_2	1	Flavobacteriales	205	2.34	0.98
10_S_B01_2010_12_17_2	1	Campylobacterales	56	0.64	1
10_S_B01_2010_12_17_2	1	Synergistales	109	1.25	0.91
10_S_B01_2010_12_17_2	1	Selenomonadales	559	6.39	0.98
10_S_B01_2010_12_17_2	1	Desulfovibrionales	4	0.05	0.99
10_S_B01_2010_12_17_2	1	Bacteroidales	2109	24.1	0.99
10_S_B01_2010_12_17_2	1	Coriobacteriales	84	0.96	0.99
10_S_B01_2010_12_17_2	1	Actinomycetales	1543	17.63	0.99
10_S_B01_2010_12_17_2	1	Bifidobacteriales	48	0.55	0.99
10_S_B01_2010_12_17_2	1	Coriobacteriaceae	84	0.96	0.99
10_S_B01_2010_12_17_2	1	Pseudonocardiaceae	7	0.08	0.65
10_S_B01_2010_12_17_2	1	Actinomycetaceae	709	8.1	0.94
10_S_B01_2010_12_17_2	1	Mycobacteriaceae	22	0.25	0.97
10_S_B01_2010_12_17_2	1	Corynebacteriaceae	529	6.05	0.94
10_S_B01_2010_12_17_2	1	Micrococcaceae	95	1.09	0.96
10_S_B01_2010_12_17_2	1	Propionibacteriaceae	47	0.54	1
10_S_B01_2010_12_17_2	1	Chloroplast	2	0.02	1
10_S_B01_2010_12_17_2	1	Anaeroplasmataceae	2	0.02	0.58
10_S_B01_2010_12_17_2	1	Leptotrichiaceae	613	7	0.99
10_S_B01_2010_12_17_2	1	Streptococcaceae	994	11.36	0.97
10_S_B01_2010_12_17_2	1	Sphingomonadaceae	1	0.01	1
10_S_B01_2010_12_17_2	1	Listeriaceae	2	0.02	1
10_S_B01_2010_12_17_2	1	Desulfomicrobiaceae	3	0.03	1
10_S_B01_2010_12_17_2	1	Cardiobacteriaceae	46	0.53	0.94
10_S_B01_2010_12_17_2	1	Eubacteriaceae	89	1.02	0.9
10_S_B01_2010_12_17_2	1	Neisseriaceae	350	4	0.98
10_S_B01_2010_12_17_2	1	Veillonellaceae	546	6.24	0.98
10_S_B01_2010_12_17_2	1	Burkholderiaceae	2	0.02	1
10_S_B01_2010_12_17_2	1	Rikenellaceae	8	0.09	0.73
10_S_B01_2010_12_17_2	1	Methylobacteriaceae	12	0.14	1
10_S_B01_2010_12_17_2	1	Erysipelotrichaceae	16	0.18	0.95
10_S_B01_2010_12_17_2	1	Clostridiales_Incertae Sedis XIII	13	0.15	0.94
10_S_B01_2010_12_17_2	1	Prevotellaceae	1014	11.59	0.98
10_S_B01_2010_12_17_2	1	Lactobacillaceae	6	0.07	1
10_S_B01_2010_12_17_2	1	Mycoplasmataceae	8	0.09	0.96
10_S_B01_2010_12_17_2	1	Fusobacteriaceae	656	7.5	0.98
10_S_B01_2010_12_17_2	1	Spirochaetaceae	365	4.17	0.97
10_S_B01_2010_12_17_2	1	Desulfohalobiaceae	1	0.01	0.79
10_S_B01_2010_12_17_2	1	Staphylococcaceae	1	0.01	1
10_S_B01_2010_12_17_2	1	Peptococcaceae 1	4	0.05	0.72
10_S_B01_2010_12_17_2	1	Bacillaceae 2	1	0.01	0.52
10_S_B01_2010_12_17_2	1	Synergistaceae	109	1.25	0.91
10_S_B01_2010_12_17_2	1	Rhodocyclaceae	5	0.06	0.75
10_S_B01_2010_12_17_2	1	Campylobacteraceae	56	0.64	1
10_S_B01_2010_12_17_2	1	Porphyromonadaceae	1044	11.93	0.97
10_S_B01_2010_12_17_2	1	Bacillales_Incertae Sedis XI	29	0.33	0.97
10_S_B01_2010_12_17_2	1	Carnobacteriaceae	47	0.54	0.84
10_S_B01_2010_12_17_2	1	Anaerolineaceae	1	0.01	0.96
10_S_B01_2010_12_17_2	1	Pasteurellaceae	310	3.54	0.99
10_S_B01_2010_12_17_2	1	Peptostreptococcaceae	51	0.58	0.92
10_S_B01_2010_12_17_2	1	Lachnospiraceae	100	1.14	0.95
10_S_B01_2010_12_17_2	1	Clostridiales_Incertae Sedis XI	50	0.57	0.95
10_S_B01_2010_12_17_2	1	Bacteroidaceae	6	0.07	0.89
10_S_B01_2010_12_17_2	1	Enterococcaceae	2	0.02	0.63
10_S_B01_2010_12_17_2	1	Alcaligenaceae	5	0.06	0.72
10_S_B01_2010_12_17_2	1	Flavobacteriaceae	205	2.34	0.98
10_S_B01_2010_12_17_2	1	Bacteroidales_incertae_sedis	19	0.22	0.97
10_S_B01_2010_12_17_2	1	Aerococcaceae	9	0.1	0.93
10_S_B01_2010_12_17_2	1	Desulfobulbaceae	8	0.09	0.94
10_S_B01_2010_12_17_2	1	Bifidobacteriaceae	48	0.55	0.99
10_S_B01_2010_12_17_2	1	Gardnerella	1	0.01	0.52
10_S_B01_2010_12_17_2	1	Bifidobacterium	22	0.25	0.95
10_S_B01_2010_12_17_2	1	Scardovia	23	0.26	0.99
10_S_B01_2010_12_17_2	1	Turicella	3	0.03	0.58
10_S_B01_2010_12_17_2	1	Tessaracoccus	18	0.21	0.55
10_S_B01_2010_12_17_2	1	Rothia	90	1.03	0.97
10_S_B01_2010_12_17_2	1	Mycobacterium	22	0.25	0.96
10_S_B01_2010_12_17_2	1	Actinomycetospora	5	0.06	0.62
10_S_B01_2010_12_17_2	1	Corynebacterium	480	5.49	0.93
10_S_B01_2010_12_17_2	1	Actinomyces	671	7.67	0.96
10_S_B01_2010_12_17_2	1	Propionibacterium	8	0.09	0.65
10_S_B01_2010_12_17_2	1	Atopobium	21	0.24	0.99
10_S_B01_2010_12_17_2	1	Olsenella	61	0.7	0.96
10_S_B01_2010_12_17_2	1	Actinobaculum	8	0.09	0.57
10_S_B01_2010_12_17_2	1	TM7_genera_incertae_sedis	29	0.33	1
10_S_B01_2010_12_17_2	1	SR1_genera_incertae_sedis	1	0.01	1
10_S_B01_2010_12_17_2	1	Streptophyta	2	0.02	1
10_S_B01_2010_12_17_2	1	Nicoletella	1	0.01	0.5
10_S_B01_2010_12_17_2	1	Ralstonia	1	0.01	1
10_S_B01_2010_12_17_2	1	Shuttleworthia	6	0.07	0.93
10_S_B01_2010_12_17_2	1	Phocoenobacter	4	0.05	0.56
10_S_B01_2010_12_17_2	1	Johnsonella	12	0.14	0.88
10_S_B01_2010_12_17_2	1	Peptococcus	4	0.05	0.69
10_S_B01_2010_12_17_2	1	Centipeda	14	0.16	0.72
10_S_B01_2010_12_17_2	1	Peptostreptococcaceae_incertae_sedis	3	0.03	0.84
10_S_B01_2010_12_17_2	1	Dialister	16	0.18	0.9
10_S_B01_2010_12_17_2	1	Peptostreptococcus	8	0.09	0.88
10_S_B01_2010_12_17_2	1	Xylanibacter	10	0.11	0.64
10_S_B01_2010_12_17_2	1	Aggregatibacter	260	2.97	0.99
10_S_B01_2010_12_17_2	1	Oribacterium	22	0.25	0.97
10_S_B01_2010_12_17_2	1	Abiotrophia	9	0.1	0.93
10_S_B01_2010_12_17_2	1	Bergeriella	8	0.09	0.81
10_S_B01_2010_12_17_2	1	Syntrophococcus	20	0.23	0.61
10_S_B01_2010_12_17_2	1	Aminobacterium	7	0.08	0.52
10_S_B01_2010_12_17_2	1	Cardiobacterium	46	0.53	0.94
10_S_B01_2010_12_17_2	1	Fusobacterium	614	7.02	0.98
10_S_B01_2010_12_17_2	1	Staphylococcus	1	0.01	1
10_S_B01_2010_12_17_2	1	Thermovirga	8	0.09	0.62
10_S_B01_2010_12_17_2	1	Leptotrichia	594	6.79	0.99
10_S_B01_2010_12_17_2	1	Granulicatella	37	0.42	0.88
10_S_B01_2010_12_17_2	1	Kingella	58	0.66	0.82
10_S_B01_2010_12_17_2	1	Asteroleplasma	2	0.02	0.58
10_S_B01_2010_12_17_2	1	Sphingomonas	1	0.01	1
10_S_B01_2010_12_17_2	1	Haemophilus	25	0.29	0.82
10_S_B01_2010_12_17_2	1	Aminiphilus	2	0.02	0.53
10_S_B01_2010_12_17_2	1	Brochothrix	2	0.02	1
10_S_B01_2010_12_17_2	1	Odoribacter	1	0.01	1
10_S_B01_2010_12_17_2	1	Solobacterium	12	0.14	0.93
10_S_B01_2010_12_17_2	1	Alysiella	1	0.01	0.69
10_S_B01_2010_12_17_2	1	Porphyromonas	787	8.99	0.98
10_S_B01_2010_12_17_2	1	Selenomonas	132	1.51	0.96
10_S_B01_2010_12_17_2	1	Neisseria	231	2.64	0.93
10_S_B01_2010_12_17_2	1	Bacteroides	6	0.07	0.89
10_S_B01_2010_12_17_2	1	Allisonella	1	0.01	0.7
10_S_B01_2010_12_17_2	1	Rikenella	8	0.09	0.73
10_S_B01_2010_12_17_2	1	Campylobacter	56	0.64	1
10_S_B01_2010_12_17_2	1	Filifactor	40	0.46	0.93
10_S_B01_2010_12_17_2	1	Gemella	29	0.33	0.97
10_S_B01_2010_12_17_2	1	Schwartzia	18	0.21	0.64
10_S_B01_2010_12_17_2	1	Sneathia	7	0.08	0.59
10_S_B01_2010_12_17_2	1	Desulfomicrobium	3	0.03	1
10_S_B01_2010_12_17_2	1	Desulfobulbus	8	0.09	0.93
10_S_B01_2010_12_17_2	1	Tannerella	129	1.47	0.91
10_S_B01_2010_12_17_2	1	Shinella	1	0.01	1
10_S_B01_2010_12_17_2	1	Anaeroglobus	7	0.08	0.87
10_S_B01_2010_12_17_2	1	Prevotella	941	10.75	0.97
10_S_B01_2010_12_17_2	1	Streptococcus	993	11.35	0.97
10_S_B01_2010_12_17_2	1	Propionivibrio	4	0.05	0.66
10_S_B01_2010_12_17_2	1	Hallella	10	0.11	0.67
10_S_B01_2010_12_17_2	1	Mitsuokella	1	0.01	0.52
10_S_B01_2010_12_17_2	1	Paludibacter	103	1.18	0.72
10_S_B01_2010_12_17_2	1	Paraprevotella	7	0.08	0.61
10_S_B01_2010_12_17_2	1	Bulleidia	4	0.05	1
10_S_B01_2010_12_17_2	1	Phocaeicola	19	0.22	0.97
10_S_B01_2010_12_17_2	1	Pseudoramibacter	14	0.16	1
10_S_B01_2010_12_17_2	1	Veillonella	323	3.69	0.98
10_S_B01_2010_12_17_2	1	Pectinatus	1	0.01	0.57
10_S_B01_2010_12_17_2	1	Lactobacillus	6	0.07	1
10_S_B01_2010_12_17_2	1	Derxia	5	0.06	0.67
10_S_B01_2010_12_17_2	1	Conchiformibius	9	0.1	0.59
10_S_B01_2010_12_17_2	1	Burkholderia	1	0.01	1
10_S_B01_2010_12_17_2	1	Eubacterium	75	0.86	0.88
10_S_B01_2010_12_17_2	1	Actinobacillus	6	0.07	0.8
10_S_B01_2010_12_17_2	1	Finegoldia	2	0.02	1
10_S_B01_2010_12_17_2	1	Streptobacillus	2	0.02	0.77
10_S_B01_2010_12_17_2	1	Treponema	363	4.15	0.97
10_S_B01_2010_12_17_2	1	Bellilinea	1	0.01	0.67
10_S_B01_2010_12_17_2	1	Parvimonas	46	0.53	0.96
10_S_B01_2010_12_17_2	1	Eikenella	13	0.15	0.63
10_S_B01_2010_12_17_2	1	Mycoplasma	8	0.09	0.96
10_S_B01_2010_12_17_2	1	Mogibacterium	8	0.09	0.96
10_S_B01_2010_12_17_2	1	Catonella	10	0.11	1
10_S_B01_2010_12_17_2	1	Clostridium XIX	31	0.35	0.66
10_S_B01_2010_12_17_2	1	Anaerovorax	5	0.06	0.92
10_S_B01_2010_12_17_2	1	Methylobacterium	12	0.14	1
10_S_B01_2010_12_17_2	1	Capnocytophaga	193	2.21	0.96
11_D_B04_2010_12_17_2	1	Root	9478	100	1
11_D_B04_2010_12_17_2	1	Archaea	1	0.01	0.62
11_D_B04_2010_12_17_2	1	Bacteria	9457	99.78	1
11_D_B04_2010_12_17_2	1	Spirochaetes	213	2.25	0.93
11_D_B04_2010_12_17_2	1	Proteobacteria	84	0.89	0.9
11_D_B04_2010_12_17_2	1	TM7	53	0.56	0.95
11_D_B04_2010_12_17_2	1	Firmicutes	1573	16.6	0.94
11_D_B04_2010_12_17_2	1	Bacteroidetes	4318	45.56	0.98
11_D_B04_2010_12_17_2	1	Chloroflexi	9	0.09	0.94
11_D_B04_2010_12_17_2	1	Actinobacteria	443	4.67	0.92
11_D_B04_2010_12_17_2	1	Tenericutes	43	0.45	0.97
11_D_B04_2010_12_17_2	1	Fusobacteria	2422	25.55	0.97
11_D_B04_2010_12_17_2	1	Synergistetes	138	1.46	0.88
11_D_B04_2010_12_17_2	1	Euryarchaeota	1	0.01	0.51
11_D_B04_2010_12_17_2	1	Spirochaetes	213	2.25	0.93
11_D_B04_2010_12_17_2	1	Synergistia	138	1.46	0.88
11_D_B04_2010_12_17_2	1	Bacteroidia	4300	45.37	0.98
11_D_B04_2010_12_17_2	1	Gammaproteobacteria	12	0.13	0.85
11_D_B04_2010_12_17_2	1	Mollicutes	43	0.45	0.97
11_D_B04_2010_12_17_2	1	Epsilonproteobacteria	13	0.14	0.92
11_D_B04_2010_12_17_2	1	Actinobacteria	443	4.67	0.92
11_D_B04_2010_12_17_2	1	Erysipelotrichia	64	0.68	0.95
11_D_B04_2010_12_17_2	1	Anaerolineae	9	0.09	0.93
11_D_B04_2010_12_17_2	1	Fusobacteria	2422	25.55	0.97
