Project	Sample_Name
Oral-Microbiome	10_D_B02_2010_12_17_2
Oral-Microbiome	10_S_B01_2010_12_17_2
Oral-Microbiome	11_D_B04_2010_12_17_2
Oral-Microbiome	11_S_B03_2010_12_17_2
Oral-Microbiome	12_D_B06_2010_12_17_2
Oral-Microbiome	12_S_B05_2010_12_17_2
Oral-Microbiome	14_D_B10_2010_12_17_2
Oral-Microbiome	14_S_B09_2010_12_17_2
Oral-Microbiome	15_D_B12_2010_12_17_2
Oral-Microbiome	15_S_B11_2010_12_17_2
Oral-Microbiome	16_D_C02_2010_12_17_2
Oral-Microbiome	16_S_C01_2010_12_17_2
Oral-Microbiome	17_D_C04_2010_12_17_2
Oral-Microbiome	17_S_C03_2010_12_17_2
Oral-Microbiome	18_D_C06_2010_12_17_2
Oral-Microbiome	18_S_C05_2010_12_17_2
Oral-Microbiome	19_D_C08_2010_12_17_2
Oral-Microbiome	19_S_C07_2010_12_17_2
Oral-Microbiome	1_D_A01_2010_12_17_2
Oral-Microbiome	1_S_A02_2010_12_17_2
Oral-Microbiome	22_D_D02_2010_12_17_2
Oral-Microbiome	22_S_D01_2010_12_17_2
Oral-Microbiome	23_D_D04_2010_12_17_2
Oral-Microbiome	23_S_D03_2010_12_17_2
Oral-Microbiome	24_D_D06_2010_12_17_2
Oral-Microbiome	24_S_D05_2010_12_17_2
Oral-Microbiome	26_D_D10_2010_12_17_2
Oral-Microbiome	26_S_D09_2010_12_17_2
Oral-Microbiome	28_D_C09_2010_12_17_2
Oral-Microbiome	28_S_C10_2010_12_17_2
Oral-Microbiome	29_D_C11_2010_12_17_2
Oral-Microbiome	29_S_C12_2010_12_17_2
Oral-Microbiome	2_D_A03_2010_12_17_2
Oral-Microbiome	2_S_A04_2010_12_17_2
Oral-Microbiome	30_D_D07_2010_12_17_2
Oral-Microbiome	30_S_D08_2010_12_17_2
Oral-Microbiome	31_D_D11_2010_12_17_2
Oral-Microbiome	31_S_D12_2010_12_17_2
Oral-Microbiome	4_D_B07_2010_12_17_2
Oral-Microbiome	4_S_B08_2010_12_17_2
Oral-Microbiome	6_D_A06_2010_12_17_2
Oral-Microbiome	6_S_A05_2010_12_17_2
Oral-Microbiome	7_D_A08_2010_12_17_2
Oral-Microbiome	7_S_A07_2010_12_17_2
Oral-Microbiome	8_D_A10_2010_12_17_2
Oral-Microbiome	8_S_A09_2010_12_17_2
Oral-Microbiome	9_D_A12_2010_12_17_2
Oral-Microbiome	9_S_A11_2010_12_17_2
Oral-Microbiome	S10_1_2011_02_15_1
Oral-Microbiome	S10_1_2011_04_27_1
Oral-Microbiome	S10_2_2011_02_15_2
Oral-Microbiome	S11_1_2011_02_15_1
Oral-Microbiome	S11_1_2011_04_27_1
Oral-Microbiome	S11_2_2011_02_15_2
Oral-Microbiome	S12_1_2011_02_15_1
Oral-Microbiome	S12_1_2011_04_27_1
Oral-Microbiome	S12_2_2011_02_15_2
Oral-Microbiome	S13_1_2011_02_15_1
Oral-Microbiome	S13_1_2011_04_27_1
Oral-Microbiome	S13_2_2011_02_15_2
Oral-Microbiome	S14_1_2011_02_15_1
Oral-Microbiome	S14_1_2011_04_27_1
Oral-Microbiome	S14_2_2011_02_15_2
Oral-Microbiome	S15_1_2011_02_15_1
Oral-Microbiome	S15_1_2011_04_27_1
Oral-Microbiome	S15_2_2011_02_15_2
Oral-Microbiome	S16_1_2011_02_15_1
Oral-Microbiome	S16_1_2011_04_27_1
Oral-Microbiome	S16_2_2011_02_15_2
Oral-Microbiome	S17_1_2011_02_15_1
Oral-Microbiome	S17_1_2011_04_27_1
Oral-Microbiome	S17_2_2011_02_15_2
Oral-Microbiome	S18_1_2011_02_15_1
Oral-Microbiome	S18_1_2011_04_27_1
Oral-Microbiome	S18_2_2011_02_15_2
Oral-Microbiome	S19_1_2011_02_15_1
Oral-Microbiome	S19_1_2011_04_27_1
Oral-Microbiome	S19_2_2011_02_15_2
Oral-Microbiome	S1_1_2011_02_15_1
Oral-Microbiome	S1_1_2011_04_27_1
Oral-Microbiome	S1_2_2011_02_15_2
Oral-Microbiome	S20_1_2011_02_15_1
Oral-Microbiome	S20_1_2011_04_27_1
Oral-Microbiome	S20_2_2011_02_15_2
Oral-Microbiome	S21_1_2011_02_15_1
Oral-Microbiome	S21_1_2011_04_27_1
Oral-Microbiome	S21_2_2011_02_15_2
Oral-Microbiome	S22_1_2011_02_15_1
Oral-Microbiome	S22_1_2011_04_27_1
Oral-Microbiome	S22_2_2011_02_15_2
Oral-Microbiome	S23_1_2011_02_15_1
